Department,Major,Degree,School,Course Title,Course Description,Cost
Correction & Rehabilitation,Psychology,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",PSYCHOLOGY OF RELIGION AND SPIRITUALITY,"An examination of the relationship of modern psychology and traditional religion in finding meaning in human reality and providing concepts and techniques for the ordering of the interior life. Topics include attitudes toward anxiety, issues of guilt, exi",753
Correction & Rehabilitation,Psychology,Bachelors (BA/BS),University of Maryland - University College,FOUNDATIONS OF FORENSIC PSYCHOLOGY,The primary goal of this course is to provide an introduction to the field of psychology and law. These two fields are intimately related: Psychology is the study of the human mind and behavior while law is the societal regulation of human behavior. This,753
Police,None,Non-Degree,ACADEMI,LE CUSTOM CARBINE COURSE,"Designed to provide each student with the core skills needed to properly use the carbine in a safe and effective manner in defensive situations. The course is taught using the Vickers Shooting Method and covers the following topics: marksmanship fundamentals, carbine manipulations, and extensive shooting drills at various distances using several shooting positions.",1695
Police,Criminal Justice,AA,BALTIMORE CITY COMMUNITY COLLEGE,ENGLISH WRITING/ENGLISH 101,"This course offers classroom instruction and practice in the skills necessary to write effective informative and persuasive essays, to understand the primary principles of scholarly inquiry and research, and to use the conventions of documentation. Students learn to use the conventions of standard written American English to establish a clear purpose in their writing, to develop their purpose with adequate and pertinent evidence, and to adapt their presentations to a range of audiences. The preparation of regularly scheduled essays is required, as is revision and editing of instructor-evaluated work",321.5
Police,Criminal Justice,AA,BALTIMORE CITY COMMUNITY COLLEGE,INTERMEDIATE ALGEBRA/MAT 92,"MAT 92 covers operations on algebraic expressions; variation; rational equations; irrational equations; solutions to quadratic equations by completing the square, by the square root property, and by the quadratic formula; and solutions of quadratic inequalities. Absolute value equations and inequalities and finding equations of straight lines meeting specific criteria are emphasized. Graphs of linear inequalities in two variables, of linear inequalities in one variable, and of parabolas are also included. Functions and real world applications of them are emphasized throughout the course.",409.5
Police,Not Specified,Certificate,MONTGOMERY COMMUNITY COLLEGE,HHS 034 PHLEBOTOMY TECH,"Classroom work includes medical terminology, anatomy and physiology review, blood collection procedures, specimen collection practice, and specimen processing and handling. Laboratory operations are reviewed including safety, quality control, universal precautions, routine laboratory tests, confidentiality, and ethics.",1730
Police,Other/Misc.,Other,VEHICLE DYNAMICS INSTITUTE (VDI),PROTECTIVE AND EVASIVE DRIVING,"This three day program is designed for professional security drivers, executive chauffeurs and protection specialists looking to develop or improve upon the knowledge, skills and ability needed to provide secure and safe transportation for clients, corporate executives, dignitaries and other 'at risk' individuals. This program is considered a 'must have' by corporate security and executive protection professionals worldwide.",1625
Police,Public Safety,Certificate,PUBLIC AGENCY TRAINING COUNCIL,CELL PHONE TECHNOLOGY AND FORENSIC DATA RECOVERY CERTIFICATION,,695
Police,Criminal Justice,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",INTRODUCTION TO HUMANITIES,"An introduction to the humanities through a review of some of the major developments in human culture. The goal is to analyze underlying assumptions about the way societies are formed and run and how societies express their ideas through art, literature, architecture, music, and philosophy. Focus is on developing the conceptual tools to understand cultural phenomena critically.
",313
Police,Computer Science,Bachelors (BA/BS),"UNIVERSITY OF MARYLAND, UNIVERSITY COLLEGE",PRINCIPLES OF WEB DESIGN AND TECHNOLOGY IT,"A study of Web design, tools, and technology principles. The goal is to plan and produce a professional Web site. Topics include Internet protocols; usability; accessibility; and social, ethical, and legal issues related to Web site production. Focus is on Extensible Hypertext Markup Language (XHTML) and cascading style sheets",819
Police,Job Related,Other,"PAT MCCARTHY PRODUCTIONS, INC",PAT MCCARTHY'S STREET CRIMES SEMINAR,The seminars provided by Pat McCarthy's Street Crimes teach invaluable street-level skills and tactics that you won't find anywhere else. Our police training seminars are based on real world situations which are entertaining and essential for all levels of law enforcement.,399
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),UNIVERSITY OF PHOENIX,AJS/501 INTRO TO GRADUATE STUDY IN CRIMINAL JUSTICE AND SECURITY,"This course provides new graduate students in the college with an introduction to strategies for success within the University's adult learning model. Topics include program standards and objectives, graduate-level oral and written communication, locating, evaluating, and citing scholarly resources, and the purposes and use of portfolios. 
",855
Police,Criminal Justice,Masters (MA/MS/MPH/etc.),UNIVERSITY OF PHOENIX,AJS/502 SUVERY OF JUSTICE AND SECURITY,"This is a survey course that introduces policing, the court systems, corrections, and private security and how they relate to each other. Challenges in these relationships are also presented.",875
Police,Criminal Justice,Bachelors (BA/BS),COLUMBIA SOUTHERN UNIVERSITY,BCJ 4101 POLICE AND COMMUNITY RELATIONS,"Examines the history of community policing, problem-oriented policing, community responsibilities, media relations, and evolving strategies. Students analyze criminal justice organizations including human resources management, research studies, environmental factors, centralized authority, and other issues.",600
Police,Not Listed,Certificate,"GEORGIA K9 NTC, LLC",K9 TRAILING SEMINAR,"Trailing is a descriptive word for the art of allowing a dog to follow human scent wherever human scent might be, on the ground or in the air. It can also be taken one step further by adding scent discrimination to the equation. Each and every animal, human or otherwise, produces a distinctive odor based on species and other sub-determining factors such as infirmity, relative age, sex, and certain individual identifying traits. The amount of odor produced is dependent upon several primary factors, mental condition such as fear or anger, exertion, and relative health issues",500
Fire/Rescue Services,Business/Admin./Mgmt.,Bachelors (BA/BS),Southern New Hampshire University,BUS-210 MANAGING AND LEADING IN BUSINESS,"Students will explore leadership and management theories and how to incorporate them in one's own personal style for effective contribution and collaboration in diverse team environments, and learn about the skills necessary to lead in various organizational structures and areas of business. Students will also examine how the functional areas of business are interrelated and work together in organizations.",280
Police,Not Listed,Certificate,"GEORGIA K9 NTC, LLC",K9 TRAILING SEMINAR,"Trailing is a descriptive word for the art of allowing a dog to follow human scent wherever human scent might be, on the ground or in the air. It can also be taken one step further by adding scent discrimination to the equation. Each and every animal, human or otherwise, produces a distinctive odor based on species and other sub-determining factors such as infirmity, relative age, sex, and certain individual identifying traits. The amount of odor produced is dependent upon several primary factors, mental condition such as fear or anger, exertion, and relative health issues",175
